연도,구단,경기수,승수,타율,타점,홈런,안타수,단타,2루타,3루타,출루율,장타율,OPS,득점권 타수,득점권 안타,득점권,UC타수,UC안타,UC비율,UC홈런,경기수,타석수,타수,득점,볼넷,사구,도루시도,도루성공,도루 성공률,희생번트시도,희생번트성공,희타 성공률,희비,대타수,대타 안타,대타율,병살,실책,피삼진
16,3:롯데,143,72,0.256,559,80,"1,230",904,216,30,0.326,0.363,0.689,"1,215",321,0.264,"2,324",593,0.255,36,143,"5,483","4,810",583,461,58,106,77,0.726,133,120,0.902,34,148,31,0.209,102,71,964
16,4:세이부,143,64,0.264,591,128,"1,287",921,219,19,0.335,0.395,0.73,"1,265",329,0.26,"2,254",588,0.261,46,143,"5,536","4,881",619,493,46,134,97,0.724,104,80,0.769,36,174,39,0.224,97,84,"1,071"
16,5:라쿠텐,143,62,0.257,518,101,"1,234",931,170,32,0.324,0.368,0.692,"1,185",307,0.259,"2,270",571,0.252,45,143,"5,441","4,806",544,439,48,93,56,0.602,139,122,0.878,26,133,37,0.278,112,75,952
16,6:오릭스,143,57,0.253,475,84,"1,199",895,208,12,0.317,0.355,0.671,"1,219",314,0.258,"2,162",552,0.255,45,143,"5,382","4,747",499,399,57,154,104,0.675,176,154,0.875,25,150,39,0.26,93,84,910
15,1:야쿠르트,143,76,0.257,547,107,"1,240",894,223,16,0.322,0.377,0.699,"1,198",321,0.268,"2,211",568,0.257,39,143,"5,423","4,817",574,433,37,111,83,0.748,128,104,0.813,31,262,55,0.21,96,71,909
15,2:거인,143,75,0.243,466,97,"1,135",832,190,16,0.313,0.354,0.667,"1,149",289,0.252,"2,459",598,0.243,44,143,"5,299","4,668",488,434,52,130,99,0.762,156,115,0.737,30,251,61,0.243,92,72,974
15,3:한신,143,70,0.247,446,78,"1,160",875,192,15,0.317,0.343,0.661,"1,188",284,0.239,"2,273",575,0.253,42,143,"5,373","4,705",465,464,38,84,48,0.571,170,138,0.812,28,276,65,0.236,93,77,"1,001"
15,4:히로시마,143,69,0.246,473,105,"1,170",832,201,32,0.312,0.368,0.681,"1,162",273,0.235,"2,349",545,0.232,52,143,"5,386","4,752",506,441,29,130,80,0.615,167,135,0.808,29,227,59,0.26,87,88,"1,082"
15,5:중일,143,62,0.253,434,71,"1,222",944,188,19,0.313,0.344,0.657,"1,224",304,0.248,"2,568",642,0.25,39,143,"5,414","4,835",473,401,36,121,88,0.727,134,114,0.851,27,271,77,0.284,83,94,"1,000"
15,6:DeNA,143,62,0.249,488,112,"1,186",837,219,18,0.306,0.373,0.679,"1,152",311,0.27,"2,333",576,0.247,52,143,"5,328","4,763",508,361,43,93,57,0.613,168,137,0.815,24,306,63,0.206,77,82,"1,047"
15,1:소프트뱅크,143,90,0.267,619,141,"1,294",914,217,22,0.34,0.408,0.747,"1,268",354,0.279,"2,177",606,0.278,64,143,"5,559","4,852",651,507,51,139,94,0.676,131,109,0.832,40,165,33,0.2,110,68,950
15,2:일본햄,143,79,0.258,578,106,"1,238",900,205,27,0.33,0.378,0.708,"1,275",344,0.27,"2,142",519,0.242,49,143,"5,469","4,802",615,487,46,172,134,0.779,123,104,0.846,30,126,28,0.222,90,88,"1,031"
15,3:롯데,143,73,0.257,531,85,"1,227",905,203,34,0.32,0.368,0.688,"1,201",316,0.263,"2,164",576,0.266,38,143,"5,362","4,767",561,410,44,101,71,0.703,126,109,0.865,32,144,31,0.215,95,76,858
15,4:세이부,143,69,0.263,602,136,"1,265",865,243,21,0.335,0.406,0.742,"1,264",350,0.277,"2,048",509,0.249,47,143,"5,497","4,818",631,480,64,109,66,0.606,125,104,0.832,30,113,22,0.195,84,91,"1,194"
15,5:오릭스,143,61,0.249,508,94,"1,175",881,184,16,0.321,0.354,0.675,"1,193",303,0.254,"2,097",526,0.251,38,143,"5,380","4,725",519,446,67,142,88,0.62,140,115,0.821,27,154,34,0.221,86,79,923
15,6:라쿠텐,143,57,0.241,440,85,"1,150",869,180,16,0.311,0.338,0.65,"1,174",288,0.245,"2,339",567,0.242,44,143,"5,423","4,777",463,445,61,178,118,0.663,124,105,0.847,35,170,33,0.194,96,85,926
